a,sigma,k,u_hat,delta,outcome
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0291,0.01,0.2,0.2,0.001182764,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,decrease
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,decrease
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,decrease
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0294,0.01,0.2,0.2,0.001195382,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,decrease
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
