a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.018939394,0.01,1.8939394,0.2,0.1,7.926062162741924e-4,1,0.0010837029211753918
0.019090909,0.01,1.9090909,0.2,0.1,7.993804926081267e-4,1,0.0010952982585035638
0.019090909,0.01,1.9090909,0.2,0.1,7.993804926081267e-4,1,0.0010952982585035638
0.019242424,0.01,1.9242424,0.2,0.1,8.062123159235596e-4,1,0.0011068375448623977
0.019242424,0.01,1.9242424,0.2,0.1,8.062123159235596e-4,1,0.0011068375448623977
0.019393939,0.01,1.9393939,0.2,0.1,8.130974308843248e-4,1,0.0011183199922892677
0.019393939,0.01,1.9393939,0.2,0.1,8.130974308843248e-4,1,0.0011183199922892677
0.019545455,0.01,1.9545455,0.2,0.1,8.200317702834709e-4,1,0.0011297449199803022
0.019545455,0.01,1.9545455,0.2,0.1,8.200317702834709e-4,1,0.0011297449199803022
0.01969697,0.01,1.969697,0.2,0.1,8.270112674925792e-4,1,0.0011411114524028897
0.01969697,0.01,1.969697,0.2,0.1,8.270112674925792e-4,1,0.0011411114524028897
0.019848485,0.01,1.9848485,0.2,0.1,8.34032127062909e-4,1,0.0011524189710855476
0.019848485,0.01,1.9848485,0.2,0.1,8.34032127062909e-4,1,0.0011524189710855476
0.02,0.01,2,0.2,0.1,8.410906380334305e-4,1,0.0011636668119817464
0.02,0.01,2,0.2,0.1,8.410906380334305e-4,1,0.0011636668119817464
